hotelMarsha,propertyName,city__state,localNumber,complexNumber,segmentNumber,largeGroupNumber
SATDT,San Antonio Marriott Riverwalk,san_antonio__tx,2102244555,8663157869,8778087728,8882381163
SATRC,San Antonio Marriott Rivercenter,san_antonio__tx,2102231000,8663161849,8778088921,8882398344
SATRW,Residence Inn San Antonio Downtown/Alamo Plaza,san_antonio__tx,2122125555,8663171244,8778088924,
SATAP,Residence Inn San Antonio Airport/Alamo Heights,san_antonio__tx,2108058118,8668915948,8777854507,
SATCA,Courtyard San Antonio Airport,san_antonio__tx,2108287200,8663151063,8778087329,
SATMC,Courtyard San Antonio Medical Center,san_antonio__tx,2106147100,8663161296,8778087503,
SATJW,JW Marriott San Antonio Hill Country Resort & Spa,san_antonio__tx,2102762500,8668913146,8778088920,8882388854
ILEGT,Sheraton Georgetown Texas Hotel & Conference Center,georgetown__tx,7374442700,,,
AUSWH,W Austin,austin__tx,5125423600,,,
AUSSH,Renaissance Austin Hotel,austin__tx,5123432626,8882651389,8778087524,8882381123
DENAU,Fairfield Inn & Suites Denver Aurora/Medical Center,aurora__co,,,8667840480,
DENSE,Courtyard Denver Tech Center,greenwood_village__co,13037210300,8669404446,8665942034,
DENFS,Fairfield Inn & Suites Denver Tech Center/South,highlands_ranch__co,,,8667745177,
DENDS,Sheraton Denver Downtown Hotel,denver__co,3038933333,,,
DENWI,The Westin Denver Downtown,denver__co,3035729100,,,
DENCA,Courtyard Denver Stapleton,denver__co,13033333303,8665919993,8669404454,
DENWT,Fairfield Inn & Suites Denver North/Westminster,westminster__co,,,8667787304,
DENAW,The Westin Denver International Airport,denver__co,3033171800,,,
DENBD,Courtyard Boulder,boulder__co,13034404700,8665919987,8669404453,
VBOCG,Residence Inn Boulder,boulder__co,13034495545,8665926465,8663991887,
DENWE,Denver Marriott West,golden__co,13032799100,8665987326,8663993887,8667840482
PHLML,Courtyard Mt. Laurel,mount_laurel__nj,8562734400,8775327977,8888919360,
SLCUT,Salt Lake Marriott Downtown at City Creek,salt_lake_city__ut,18015310800,8666100198,8665970968,8667700616
SLCTT,Residence Inn Salt Lake City Cottonwood,holladay__ut,18014530430,8665910021,8662437620,
SLCVO,Provo Marriott Hotel & Conference Center,provo__ut,,8666145914,8663991876,8667770491
PHXBD,Renaissance Phoenix Downtown Hotel,phoenix__az,6023330000,8663838693,8443774772,8663838958
PHXGP,Sheraton Grand Phoenix Downtown Hotel,phoenix__az,6022622500,,,
PHXIW,The Westin Phoenix Downtown,phoenix__az,6024293500,,,
PHXCC,Courtyard Phoenix Camelback,phoenix__az,6029555200,8667661596,8665163845,
PHXMC,Courtyard Phoenix North,phoenix__az,6026447373,8663192396,8667984868,
PHXCA,Courtyard Phoenix Airport,phoenix__az,4809664300,8667661540,8667984862,
PHXDR,JW Marriott Phoenix Desert Ridge Resort & Spa,phoenix__az,4802935000,8667661532,,8663740885
PHXMH,Residence Inn Phoenix Desert View at Mayo Clinic,phoenix__az,4805631500,8666879614,8663249914,
PHXMA,Four Points by Sheraton at Phoenix Mesa Gateway Airport,mesa__az,4805792100,,,
PHXCL,Courtyard Phoenix Chandler,chandler__az,4807639500,8662521534,8667984866,
PHXWP,Sheraton Grand at Wild Horse Pass,phoenix__az,6022250100,,,
PHXPI,Courtyard Scottsdale Salt River,scottsdale__az,4807458200,8663839164,8663823968,
PHXSC,Courtyard Scottsdale Old Town,scottsdale__az,4804297785,8662676063,8666870325,
PHXST,Scottsdale Marriott Suites Old Town,scottsdale__az,4809451550,8667661538,8443740177,
PHXWH,W Scottsdale,scottsdale__az,4809702100,,,
PHXCB,JW Marriott Scottsdale Camelback Inn Resort & Spa,scottsdale__az,4809481700,8667661531,,8663740637
PHXRS,Residence Inn Scottsdale Paradise Valley,scottsdale__az,4809488666,8662676061,8663865480,
PHXWS,The Westin Kierland Resort & Spa,scottsdale__az,4806241000,,,
PHXMY,Courtyard Scottsdale at Mayo Clinic,scottsdale__az,4808604000,8662601977,8663032373,
PHXNO,Scottsdale Marriott at McDowell Mountains,scottsdale__az,4805023836,8667661535,,8663650626
PHXTO,TownePlace Suites Scottsdale,scottsdale__az,4805511100,8667984859,8663248627,
PHXTD,Residence Inn Tempe Downtown/University,tempe__az,4809672300,8663192364,8667375697,
PHXTE,Courtyard Tempe Downtown,tempe__az,4809662800,8667984858,8662633240,
PHXRT,Residence Inn Tempe,tempe__az,4807562122,8662676062,8663898797,
TUSSP,JW Marriott Tucson Starr Pass Resort & Spa,tucson__az,5207923500,8667661539,,8663880185
ABQCA,Courtyard Albuquerque Airport,albuquerque__nm,5058436600,8665763162,8665574296,
ABQRI,Residence Inn Albuquerque,albuquerque__nm,5058812661,8665763163,8778969709,
LASNW,Courtyard Las Vegas Summerlin,las_vegas__nv,7026464400,8664793402,8662603260,
LASCH,Courtyard Las Vegas Convention Center,las_vegas__nv,7027913600,8665163843,8663244520,
LASNV,Residence Inn Las Vegas Convention Center,las_vegas__nv,7027969300,8664793401,8665163848,
LASST,Las Vegas Marriott,las_vegas__nv,7026502000,8664793404,8443740176,
LASHH,Residence Inn Las Vegas Hughes Center,las_vegas__nv,7026500040,8665163849,8665163847,
RNORI,Residence Inn Reno,reno__nv,7758538800,8663832953,8663865336,
LAXJW,JW Marriott Los Angeles L.A. LIVE,los_angeles__ca,2137658600,8663832038,8443774778,8663710374
LAXLD,Courtyard Los Angeles L.A. LIVE,los_angeles__ca,2134439200,8663854235,8443774773,
LAXRI,Residence Inn Los Angeles L.A. LIVE,los_angeles__ca,2134439200,8668695853,8443774775,
LAXGR,Sheraton Grand Los Angeles,los_angeles__ca,2134883500,,,
LAXWB,W Los Angeles - West Beverly Hills,los_angeles__ca,3102088765,,,
LAXWH,W Hollywood,los_angeles__ca,3237981300,,,
LAXAP,Los Angeles Airport Marriott,los_angeles__ca,3106415700,8664847804,8443774776,8666797369
LAXRR,Renaissance Los Angeles Airport Hotel,los_angeles__ca,3103372800,8662444978,8443774781,8666775628
LAXWI,The Westin Los Angeles Airport,los_angeles__ca,3102165858,,,
LAXCA,Courtyard Los Angeles LAX/El Segundo,el_segundo__ca,3103220700,8662187612,8667304782,
LAXHT,TownePlace Suites Los Angeles LAX/Manhattan Beach,hawthorne__ca,3107259696,8662221998,8666775621,
LAXHW,SpringHill Suites Los Angeles LAX/Manhattan Beach,hawthorne__ca,3103013000,8662410111,8443601941,
LAXMB,Marina del Rey Marriott,marina_del_rey__ca,3103013000,8662429127,8443774779,8666797385
LAXTC,Residence Inn Los Angeles Torrance/Redondo Beach,torrance__ca,3105434566,8662447849,8443601942,
LAXTR,Torrance Marriott Redondo Beach,torrance__ca,3103163636,8662499565,8443774782,8666775629
LAXCT,Courtyard Los Angeles Torrance/South Bay,torrance__ca,3105321722,8662187625,8663880858,
LAXTO,Courtyard Los Angeles Torrance/Palos Verdes,torrance__ca,3105338000,8662498819,8443601943,
SNABP,Courtyard Anaheim Buena Park,buena_park__ca,7146706600,8666548186,8443648131,
SNAOC,Residence Inn Cypress Los Alamitos,los_alamitos__ca,7144845700,8662626040,8443680528,
LGBCY,Courtyard Long Beach Downtown,long_beach__ca,5624358511,8662502316,8443601944,
LGBRI,Residence Inn Long Beach Downtown,long_beach__ca,5624950700,8666879599,8443601945,
LGBRN,Renaissance Long Beach Hotel,long_beach__ca,5624375900,8662509110,8443803655,8667303941
LAXBH,Residence Inn Long Beach,long_beach__ca,5625950909,8662184121,8667304725,
BWRAR,Residence Inn Pasadena Arcadia,arcadia__ca,6264466500,8662180413,8663849049,
LAXRO,Residence Inn Los Angeles Pasadena/Old Town,pasadena__ca,6262049220,8667303943,8667304783,
BURRI,Residence Inn Los Angeles Burbank/Downtown,burbank__ca,8182608787,8662654032,8665461480,
BURSH,SpringHill Suites Los Angeles Burbank/Downtown,burbank__ca,8185242730,8663436773,8443740170,
LAXHH,Courtyard Los Angeles Hacienda Heights/Orange County,hacienda_heights__ca,6269651700,8662992049,8666797358,
ONTSI,Sheraton Fairplex Hotel & Conference Center,pomona__ca,9096222220,,,
LAJCA,Residence Inn San Diego La Jolla,la_jolla__ca,8585871770,8665461427,8667304647,
SANON,Courtyard San Diego Oceanside,oceanside__ca,7609661000,8663192391,8443740171,
SANOS,Residence Inn San Diego Oceanside,oceanside__ca,7607229600,8666879615,8443648129,
SANDH,SpringHill Suites San Diego Downtown/Bayfront,san_diego__ca,6198310225,8663438221,8443740178,
SANDT,Marriott Marquis San Diego Marina,san_diego__ca,6192341500,8665461473,8443803663,8667304724
SANRH,Residence Inn San Diego Downtown/Bayfront,san_diego__ca,6198310225,8663438697,8443774771,
SANSI,Sheraton San Diego Hotel & Marina,san_diego__ca,6192912900,,,
SANWI,The Westin San Diego Gaslamp Quarter,san_diego__ca,6192392200,,,
SANCI,Coronado Island Marriott Resort & Spa,coronado__ca,6194353000,8663900417,8443803664,8667304601
SANAA,Residence Inn San Diego Sorrento Mesa/Sorrento Valley,san_diego__ca,8585529100,8665461430,8443740172,
SANMM,Courtyard San Diego Sorrento Valley,san_diego__ca,8585589600,8663194542,8443648128,
SANRB,Residence Inn San Diego Rancho Bernardo/Carmel Mountain Ranch,san_diego__ca,8586731900,8662172738,8443648130,
SANDL,Residence Inn San Diego Del Mar,san_diego__ca,8584818800,8664194761,8443740175,
PSPSR,Renaissance Indian Wells Resort & Spa,indian_wells__ca,7607734444,8668092254,,8663770819
CTDCA,JW Marriott Desert Springs Resort & Spa,palm_desert__ca,7603412211,8668082452,,8663740018
PSPCH,Courtyard Palm Springs,palm_springs__ca,7603226100,8667984869,8443648125,
PSPWI,The Westin Mission Hills Golf Resort & Spa,rancho_mirage__ca,7603285955,,,
SNAFR,Courtyard Foothill Ranch Irvine East/Lake Forest,foothill_ranch__ca,9499515700,8666548188,8443648133,
